run_name,method,selected_for_method,seed,learning_rate,l1_alpha,rewa_k,rewa_m,rewa_weight_decay,rewa_eps,checkpoint_best_val_loss,target_sparsity,selected_count,total_eligible,selection_sparsity,eligible_zeros,eligible_nonzeros,eligible_sparsity,whole_model_zeros,whole_model_nonzeros,whole_model_sparsity,attention_sparsity,mlp_sparsity,validation_loss,perplexity
rewa-k9-m2-wd0.1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,0.1,0.0,2.73578568935,0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.8875975432219328,0.9062012566460503,16.274697914123536,11695303.560799494
rewa-k9-m2-wd0.1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,0.1,0.0,2.73578568935,0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9403514155635128,0.95482423570421,16.34741367340088,12577419.655856606
rewa-k9-m2-wd1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,3.2656304144859316,26.196620515409826
rewa-k9-m2-wd1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.2996218646014178,0.30018912421332467,3.6132901334762573,37.08787636064205
rewa-k9-m2-wd1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.4935133192274306,0.5032433403862847,3.372347593307495,29.14687180475663
rewa-k9-m2-wd1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.6843380398220487,0.7078309235749422,10.814747953414917,49749.11499657364
rewa-k9-m2-wd1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7814825552481192,0.809258778889974,12.271627931594848,213550.3534949966
rewa-k9-m2-wd1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.8815878408926504,0.9092061078106916,12.70218379020691,328464.4166064358
rewa-k9-m2-wd1-lr6e-4-seed0,rewa,no,0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9322029396339699,0.9588984736689815,12.752792863845825,345515.52769105264
rewa-k9-m2-wd1e-4-lr6e-4-seed0,rewa,yes,0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.7193311619758607,15.170172462876248
rewa-k9-m2-wd1e-4-lr6e-4-seed0,rewa,yes,0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.28387394657841436,0.3080630832248264,2.8484518933296203,17.26103921574315
rewa-k9-m2-wd1e-4-lr6e-4-seed0,rewa,yes,0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.4798513341833044,0.5100743329083478,3.9290701603889464,50.85966434519592
rewa-k9-m2-wd1e-4-lr6e-4-seed0,rewa,yes,0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.680741204155816,0.7096293414080584,12.251956214904785,209390.50130505674
rewa-k9-m2-wd1e-4-lr6e-4-seed0,rewa,yes,0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7839561744972512,0.808021969265408,15.137339029312134,3750272.377512232
rewa-k9-m2-wd1e-4-lr6e-4-seed0,rewa,yes,0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.8884345160590278,0.9057827702275029,16.492027549743653,14534381.661818568
rewa-k9-m2-wd1e-4-lr6e-4-seed0,rewa,yes,0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9413113064236112,0.9543442902741609,16.6045041847229,16264643.260956006
